"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"FT","llama-3-8b-8bits","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-8bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-8bits","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-8bits","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","CustomerComplaint","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"RAG","GPT-4o","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
