"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"base-llm","GPT-4o","AirlinesCustomerSatisfaction","1.0","4.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4o","CustomerComplaint","1.0","4.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","4.0","5.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4o","eCommerce","1.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b","AmazonRating","1.0","1.0","5.0","5.0","2.0","5.0","5.0","5.0","5.0","3.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b","BigBasketProducts","1.0","1.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b","CustomerComplaint","1.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b","eCommerce","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","3.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-4bits","BigBasketProducts","1.0","2.0","5.0","5.0","2.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-4bits","BrazilianE-commerce","1.0","1.0","5.0","5.0","2.0","5.0","5.0","5.0","5.0","2.0","5.0","5.0","3.0","5.0","3.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-4bits","eCommerce","5.0","3.0","5.0","5.0","1.0","4.0","5.0","4.0","5.0","4.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-8bits","BigBasketProducts","1.0","1.0","5.0","4.0","1.0","4.0","5.0","4.0","5.0","4.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-8bits","BrazilianE-commerce","1.0","5.0","5.0","5.0","1.0","5.0","3.0","5.0","5.0","5.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-13b-8bits","CustomerComplaint","1.0","3.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","llama-2-70b-4bits","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b-4bits","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","3.0","5.0","5.0"
"base-llm","llama-3-70b-4bits","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b-4bits","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b-4bits","BrazilianE-commerce","1.0","5.0","5.0","5.0","3.0","5.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b-4bits","CustomerComplaint","1.0","5.0","5.0","5.0","2.0","4.0","5.0","5.0","5.0","5.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b","CustomerComplaint","1.0","5.0","5.0","5.0","1.0","4.0","4.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-4bits","BigBasketProducts","1.0","1.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-4bits","BrazilianE-commerce","2.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-4bits","eCommerce","1.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-8bits","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","1.0","5.0","3.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-8bits","AmazonRating","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-8bits","BrazilianE-commerce","1.0","4.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-8bits","CustomerComplaint","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-8b-8bits","eCommerce","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","mistral-7b","AirlinesCustomerSatisfaction","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","mistral-7b","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","mistral-7b","BrazilianE-commerce","2.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","5.0","4.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","mistral-7b","CustomerComplaint","1.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","mixtral-8-7b","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","mixtral-8-7b","AmazonRating","1.0","5.0","5.0","5.0","1.0","4.0","4.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","mixtral-8-7b","CustomerComplaint","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","3.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","BigBasketProducts","5.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","BrazilianE-commerce","1.0","5.0","5.0","5.0","1.0","5.0","3.0","5.0","5.0","5.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-3.5","eCommerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","GPT-4o-mini","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","AmazonRating","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","BigBasketProducts","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-13b","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","CustomerComplaint","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","AirlinesCustomerSatisfaction","5.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","AmazonRating","5.0","3.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","5.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","BigBasketProducts","4.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-4bits","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","AirlinesCustomerSatisfaction","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","AmazonRating","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","BigBasketProducts","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","CustomerComplaint","1.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-2-7b-8bits","eCommerce","3.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","AirlinesCustomerSatisfaction","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","AmazonRating","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","BigBasketProducts","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","AirlinesCustomerSatisfaction","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-4bits","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","AmazonRating","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","CustomerComplaint","5.0","4.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT-llm","llama-3-8b-8bits","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
