method,dataset,feature,value,prefix,id,correct
GPT-3.5,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,BigBasketProducts,URIs,xsd:float,xsd,float,TRUE
GPT-4,BigBasketProducts,total,15,NA,NA,NA
GPT-4,BigBasketProducts,validity,14,NA,NA,NA
GPT-4,BigBasketProducts,corrected,1,NA,NA,NA
GPT-4,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-4,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4,BigBasketProducts,URIs,xsd:anyURI,xsd,anyURI,TRUE
GPT-4,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
GPT-4,BigBasketProducts,URIs,xsd:float,xsd,float,TRUE
GPT-4,BigBasketProducts,URIs,schema:Product,schema,Product,TRUE
GPT-4,BigBasketProducts,URIs,schema:Brand,schema,Brand,TRUE
GPT-4,BigBasketProducts,URIs,schema:Category,schema,Category,FALSE
GPT-4,BigBasketProducts,URIs,schema:Thing,schema,Thing,TRUE
GPT-4,BigBasketProducts,URIs,schema:QuantitativeValue,schema,QuantitativeValue,TRUE
GPT-4o,BigBasketProducts,total,16,NA,NA,NA
GPT-4o,BigBasketProducts,validity,14,NA,NA,NA
GPT-4o,BigBasketProducts,corrected,2,NA,NA,NA
GPT-4o,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4o,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:Literal,rdfs,Literal,TRUE
GPT-4o,BigBasketProducts,URIs,schema:Product,schema,Product,TRUE
GPT-4o,BigBasketProducts,URIs,schema:Brand,schema,Brand,TRUE
GPT-4o,BigBasketProducts,URIs,schema:Category,schema,Category,FALSE
GPT-4o,BigBasketProducts,URIs,schema:url,schema,url,TRUE
GPT-4o,BigBasketProducts,URIs,schema:image,schema,image,TRUE
GPT-4o,BigBasketProducts,URIs,schema:name,schema,name,TRUE
GPT-4o,BigBasketProducts,URIs,schema:quantity,schema,quantity,FALSE
GPT-4o,BigBasketProducts,URIs,schema:price,schema,price,TRUE
GPT-3.5,BrazilianE-commerce,total,21,NA,NA,NA
GPT-3.5,BrazilianE-commerce,validity,9,NA,NA,NA
GPT-3.5,BrazilianE-commerce,corrected,12,NA,NA,NA
GPT-3.5,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-3.5,BrazilianE-commerce,URIs,xsd:float,xsd,float,TRUE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:hasCustomerCity,entity_customer,hasCustomerCity,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:hasCustomerId,entity_customer,hasCustomerId,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:hasCustomerState,entity_customer,hasCustomerState,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:hasCustomerUniqueId,entity_customer,hasCustomerUniqueId,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:nonNullCount,entity_customer,nonNullCount,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:uniqueCount,entity_customer,uniqueCount,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:type,entity_customer,type,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:count,entity_customer,count,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:max,entity_customer,max,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:mean,entity_customer,mean,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:min,entity_customer,min,FALSE
GPT-3.5,BrazilianE-commerce,URIs,entity_customer:std,entity_customer,std,FALSE
GPT-4,BrazilianE-commerce,total,11,NA,NA,NA
GPT-4,BrazilianE-commerce,validity,11,NA,NA,NA
GPT-4,BrazilianE-commerce,corrected,0,NA,NA,NA
GPT-4,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-4,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4,BrazilianE-commerce,URIs,vcard:locality,vcard,locality,TRUE
GPT-4,BrazilianE-commerce,URIs,vcard:region,vcard,region,TRUE
GPT-4,BrazilianE-commerce,URIs,vcard:postal-code,vcard,postal-code,TRUE
GPT-4,BrazilianE-commerce,URIs,schema:identifier,schema,identifier,TRUE
GPT-4,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o,BrazilianE-commerce,total,13,NA,NA,NA
GPT-4o,BrazilianE-commerce,validity,13,NA,NA,NA
GPT-4o,BrazilianE-commerce,corrected,0,NA,NA,NA
GPT-4o,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:Literal,rdfs,Literal,TRUE
GPT-4o,BrazilianE-commerce,URIs,foaf:Person,foaf,Person,TRUE
GPT-4o,BrazilianE-commerce,URIs,schema:identifier,schema,identifier,TRUE
GPT-4o,BrazilianE-commerce,URIs,schema:addressLocality,schema,addressLocality,TRUE
GPT-4o,BrazilianE-commerce,URIs,schema:addressRegion,schema,addressRegion,TRUE
GPT-4o,BrazilianE-commerce,URIs,schema:postalCode,schema,postalCode,TRUE
GPT-3.5,CustomerComplaint,total,7,NA,NA,NA
GPT-3.5,CustomerComplaint,validity,7,NA,NA,NA
GPT-3.5,CustomerComplaint,corrected,0,NA,NA,NA
GPT-3.5,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,CustomerComplaint,URIs,xsd:float,xsd,float,TRUE
GPT-3.5,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
GPT-4,CustomerComplaint,total,19,NA,NA,NA
GPT-4,CustomerComplaint,validity,18,NA,NA,NA
GPT-4,CustomerComplaint,corrected,1,NA,NA,NA
GPT-4,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-4,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,CustomerComplaint,URIs,schema:Organization,schema,Organization,TRUE
GPT-4,CustomerComplaint,URIs,foaf:Person,foaf,Person,TRUE
GPT-4,CustomerComplaint,URIs,schema:Product,schema,Product,TRUE
GPT-4,CustomerComplaint,URIs,skos:Concept,skos,Concept,TRUE
GPT-4,CustomerComplaint,URIs,schema:ProductModel,schema,ProductModel,TRUE
GPT-4,CustomerComplaint,URIs,schema:ReplyAction,schema,ReplyAction,TRUE
GPT-4,CustomerComplaint,URIs,schema:Article,schema,Article,TRUE
GPT-4,CustomerComplaint,URIs,schema:Boolean,schema,Boolean,TRUE
GPT-4,CustomerComplaint,URIs,dcterms:date,dcterms,date,TRUE
GPT-4,CustomerComplaint,URIs,schema:State,schema,State,TRUE
GPT-4,CustomerComplaint,URIs,schema:PostalCode,schema,PostalCode,FALSE
GPT-4,CustomerComplaint,URIs,schema:identifier,schema,identifier,TRUE
GPT-4,CustomerComplaint,URIs,schema:keywords,schema,keywords,TRUE
GPT-4,CustomerComplaint,URIs,schema:CreativeWork,schema,CreativeWork,TRUE
GPT-4o,CustomerComplaint,total,15,NA,NA,NA
GPT-4o,CustomerComplaint,validity,14,NA,NA,NA
GPT-4o,CustomerComplaint,corrected,1,NA,NA,NA
GPT-4o,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4o,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Organization,schema,Organization,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Review,schema,Review,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Text,schema,Text,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Boolean,schema,Boolean,TRUE
GPT-4o,CustomerComplaint,URIs,dcterms:date,dcterms,date,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Product,schema,Product,TRUE
GPT-4o,CustomerComplaint,URIs,schema:Place,schema,Place,TRUE
GPT-4o,CustomerComplaint,URIs,schema:identifier,schema,identifier,TRUE
GPT-4o,CustomerComplaint,URIs,schema:PostalCode,schema,PostalCode,FALSE
GPT-3.5,eCommerce,total,7,NA,NA,NA
GPT-3.5,eCommerce,validity,7,NA,NA,NA
GPT-3.5,eCommerce,corrected,0,NA,NA,NA
GPT-3.5,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,eCommerce,URIs,xsd:float,xsd,float,TRUE
GPT-3.5,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-4,eCommerce,total,21,NA,NA,NA
GPT-4,eCommerce,validity,21,NA,NA,NA
GPT-4,eCommerce,corrected,0,NA,NA,NA
GPT-4,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-4,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,eCommerce,URIs,owl:equivalentClass,owl,equivalentClass,TRUE
GPT-4,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-4,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-4,eCommerce,URIs,schema:Order,schema,Order,TRUE
GPT-4,eCommerce,URIs,schema:Product,schema,Product,TRUE
GPT-4,eCommerce,URIs,schema:Person,schema,Person,TRUE
GPT-4,eCommerce,URIs,schema:Organization,schema,Organization,TRUE
GPT-4,eCommerce,URIs,schema:Invoice,schema,Invoice,TRUE
GPT-4,eCommerce,URIs,schema:DateTime,schema,DateTime,TRUE
GPT-4,eCommerce,URIs,schema:identifier,schema,identifier,TRUE
GPT-4,eCommerce,URIs,schema:ProductModel,schema,ProductModel,TRUE
GPT-4,eCommerce,URIs,schema:sku,schema,sku,TRUE
GPT-4,eCommerce,URIs,schema:description,schema,description,TRUE
GPT-4,eCommerce,URIs,schema:Country,schema,Country,TRUE
GPT-4o,eCommerce,total,10,NA,NA,NA
GPT-4o,eCommerce,validity,10,NA,NA,NA
GPT-4o,eCommerce,corrected,0,NA,NA,NA
GPT-4o,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o,eCommerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4o,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
