method,dataset,feature,value,correct
GPT-3.5,AmazonRating,corrected,0,NA
GPT-3.5,AmazonRating,prefixes,rdfs,TRUE
GPT-3.5,AmazonRating,prefixes,owl,TRUE
GPT-3.5,AmazonRating,prefixes,xsd,TRUE
GPT-4,AmazonRating,total,8,NA
GPT-4,AmazonRating,validity,8,NA
GPT-4,AmazonRating,corrected,0,NA
GPT-4,AmazonRating,prefixes,rdf,TRUE
GPT-4,AmazonRating,prefixes,rdfs,TRUE
GPT-4,AmazonRating,prefixes,owl,TRUE
GPT-4,AmazonRating,prefixes,xsd,TRUE
GPT-4,AmazonRating,prefixes,foaf,TRUE
GPT-4,AmazonRating,prefixes,schema,TRUE
GPT-4,AmazonRating,prefixes,gr,TRUE
GPT-4,AmazonRating,prefixes,rev,TRUE
GPT-4o,AmazonRating,total,6,NA
GPT-4o,AmazonRating,validity,6,NA
GPT-4o,AmazonRating,corrected,0,NA
GPT-4o,AmazonRating,prefixes,rdf,TRUE
GPT-4o,AmazonRating,prefixes,rdfs,TRUE
GPT-4o,AmazonRating,prefixes,owl,TRUE
GPT-4o,AmazonRating,prefixes,xsd,TRUE
GPT-4o,AmazonRating,prefixes,schema,TRUE
GPT-4o,AmazonRating,prefixes,dcterms,TRUE
GPT-3.5,BigBasketProducts,total,3,NA
GPT-3.5,BigBasketProducts,validity,3,NA
GPT-3.5,BigBasketProducts,corrected,0,NA
GPT-3.5,BigBasketProducts,prefixes,rdfs,TRUE
GPT-3.5,BigBasketProducts,prefixes,owl,TRUE
GPT-3.5,BigBasketProducts,prefixes,xsd,TRUE
GPT-4,BigBasketProducts,total,8,NA
GPT-4,BigBasketProducts,validity,8,NA
GPT-4,BigBasketProducts,corrected,0,NA
GPT-4,BigBasketProducts,prefixes,rdf,TRUE
GPT-4,BigBasketProducts,prefixes,rdfs,TRUE
GPT-4,BigBasketProducts,prefixes,owl,TRUE
GPT-4,BigBasketProducts,prefixes,xsd,TRUE
GPT-4,BigBasketProducts,prefixes,schema,TRUE
GPT-4,BigBasketProducts,prefixes,gr,TRUE
GPT-4,BigBasketProducts,prefixes,dc,TRUE
GPT-4,BigBasketProducts,prefixes,foaf,TRUE
GPT-4o,BigBasketProducts,total,6,NA
GPT-4o,BigBasketProducts,validity,6,NA
GPT-4o,BigBasketProducts,corrected,0,NA
GPT-4o,BigBasketProducts,prefixes,rdf,TRUE
GPT-4o,BigBasketProducts,prefixes,rdfs,TRUE
GPT-4o,BigBasketProducts,prefixes,owl,TRUE
GPT-4o,BigBasketProducts,prefixes,schema,TRUE
GPT-4o,BigBasketProducts,prefixes,dcterms,TRUE
GPT-4o,BigBasketProducts,prefixes,foaf,TRUE
GPT-3.5,BrazilianE-commerce,total,5,NA
GPT-3.5,BrazilianE-commerce,validity,5,NA
GPT-3.5,BrazilianE-commerce,corrected,0,NA
GPT-3.5,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,owl,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,xsd,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,entity_customer,TRUE
GPT-4,BrazilianE-commerce,total,6,NA
GPT-4,BrazilianE-commerce,validity,6,NA
GPT-4,BrazilianE-commerce,corrected,0,NA
GPT-4,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-4,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-4,BrazilianE-commerce,prefixes,owl,TRUE
GPT-4,BrazilianE-commerce,prefixes,xsd,TRUE
GPT-4,BrazilianE-commerce,prefixes,vcard,TRUE
GPT-4,BrazilianE-commerce,prefixes,schema,TRUE
GPT-4o,BrazilianE-commerce,total,5,NA
GPT-4o,BrazilianE-commerce,validity,5,NA
GPT-4o,BrazilianE-commerce,corrected,0,NA
GPT-4o,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-4o,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-4o,BrazilianE-commerce,prefixes,owl,TRUE
GPT-4o,BrazilianE-commerce,prefixes,foaf,TRUE
GPT-4o,BrazilianE-commerce,prefixes,schema,TRUE
GPT-3.5,CustomerComplaint,total,4,NA
GPT-3.5,CustomerComplaint,validity,4,NA
GPT-3.5,CustomerComplaint,corrected,0,NA
GPT-3.5,CustomerComplaint,prefixes,rdf,TRUE
GPT-3.5,CustomerComplaint,prefixes,rdfs,TRUE
GPT-3.5,CustomerComplaint,prefixes,owl,TRUE
GPT-3.5,CustomerComplaint,prefixes,xsd,TRUE
GPT-4,CustomerComplaint,total,8,NA
GPT-4,CustomerComplaint,validity,8,NA
GPT-4,CustomerComplaint,corrected,0,NA
GPT-4,CustomerComplaint,prefixes,rdf,TRUE
GPT-4,CustomerComplaint,prefixes,rdfs,TRUE
GPT-4,CustomerComplaint,prefixes,owl,TRUE
GPT-4,CustomerComplaint,prefixes,xsd,TRUE
GPT-4,CustomerComplaint,prefixes,skos,TRUE
GPT-4,CustomerComplaint,prefixes,foaf,TRUE
GPT-4,CustomerComplaint,prefixes,dcterms,TRUE
GPT-4,CustomerComplaint,prefixes,schema,TRUE
GPT-4o,CustomerComplaint,total,6,NA
GPT-4o,CustomerComplaint,validity,6,NA
GPT-4o,CustomerComplaint,corrected,0,NA
GPT-4o,CustomerComplaint,prefixes,rdf,TRUE
GPT-4o,CustomerComplaint,prefixes,rdfs,TRUE
GPT-4o,CustomerComplaint,prefixes,owl,TRUE
GPT-4o,CustomerComplaint,prefixes,xsd,TRUE
GPT-4o,CustomerComplaint,prefixes,dcterms,TRUE
GPT-4o,CustomerComplaint,prefixes,schema,TRUE
GPT-3.5,eCommerce,total,4,NA
GPT-3.5,eCommerce,validity,4,NA
GPT-3.5,eCommerce,corrected,0,NA
GPT-3.5,eCommerce,prefixes,rdf,TRUE
GPT-3.5,eCommerce,prefixes,rdfs,TRUE
GPT-3.5,eCommerce,prefixes,owl,TRUE
GPT-3.5,eCommerce,prefixes,xsd,TRUE
GPT-4,eCommerce,total,9,NA
GPT-4,eCommerce,validity,9,NA
GPT-4,eCommerce,corrected,0,NA
GPT-4,eCommerce,prefixes,rdf,TRUE
GPT-4,eCommerce,prefixes,rdfs,TRUE
GPT-4,eCommerce,prefixes,owl,TRUE
GPT-4,eCommerce,prefixes,xsd,TRUE
GPT-4,eCommerce,prefixes,dc,TRUE
GPT-4,eCommerce,prefixes,foaf,TRUE
GPT-4,eCommerce,prefixes,schema,TRUE
GPT-4,eCommerce,prefixes,skos,TRUE
GPT-4,eCommerce,prefixes,gr,TRUE
GPT-4o,eCommerce,total,7,NA
GPT-4o,eCommerce,validity,7,NA
GPT-4o,eCommerce,corrected,0,NA
GPT-4o,eCommerce,prefixes,rdf,TRUE
GPT-4o,eCommerce,prefixes,rdfs,TRUE
GPT-4o,eCommerce,prefixes,owl,TRUE
GPT-4o,eCommerce,prefixes,xsd,TRUE
GPT-4o,eCommerce,prefixes,schema,TRUE
GPT-4o,eCommerce,prefixes,dcterms,TRUE
GPT-4o,eCommerce,prefixes,foaf,TRUE
