method,dataset,feature,value,correct
GPT-3.5,eCommerce,validity,4,NA
GPT-3.5,eCommerce,corrected,0,NA
GPT-3.5,eCommerce,prefixes,rdf,TRUE
GPT-3.5,eCommerce,prefixes,rdfs,TRUE
GPT-3.5,eCommerce,prefixes,xsd,TRUE
GPT-3.5,eCommerce,prefixes,owl,TRUE
GPT-4o,AirlinesCustomerSatisfaction,total,4,NA
GPT-4o,AirlinesCustomerSatisfaction,validity,4,NA
GPT-4o,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-4o,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-4o,AmazonRating,total,4,NA
GPT-4o,AmazonRating,validity,4,NA
GPT-4o,AmazonRating,corrected,0,NA
GPT-4o,AmazonRating,prefixes,rdf,TRUE
GPT-4o,AmazonRating,prefixes,rdfs,TRUE
GPT-4o,AmazonRating,prefixes,owl,TRUE
GPT-4o,AmazonRating,prefixes,xsd,TRUE
GPT-4o,BigBasketProducts,total,4,NA
GPT-4o,BigBasketProducts,validity,4,NA
GPT-4o,BigBasketProducts,corrected,0,NA
GPT-4o,BigBasketProducts,prefixes,rdf,TRUE
GPT-4o,BigBasketProducts,prefixes,rdfs,TRUE
GPT-4o,BigBasketProducts,prefixes,owl,TRUE
GPT-4o,BigBasketProducts,prefixes,xsd,TRUE
GPT-4o,BrazilianE-commerce,total,4,NA
GPT-4o,BrazilianE-commerce,validity,4,NA
GPT-4o,BrazilianE-commerce,corrected,0,NA
GPT-4o,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-4o,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-4o,BrazilianE-commerce,prefixes,owl,TRUE
GPT-4o,BrazilianE-commerce,prefixes,xsd,TRUE
GPT-4o,CustomerComplaint,total,4,NA
GPT-4o,CustomerComplaint,validity,4,NA
GPT-4o,CustomerComplaint,corrected,0,NA
GPT-4o,CustomerComplaint,prefixes,rdf,TRUE
GPT-4o,CustomerComplaint,prefixes,rdfs,TRUE
GPT-4o,CustomerComplaint,prefixes,owl,TRUE
GPT-4o,CustomerComplaint,prefixes,xsd,TRUE
GPT-4o,eCommerce,total,4,NA
GPT-4o,eCommerce,validity,4,NA
GPT-4o,eCommerce,corrected,0,NA
GPT-4o,eCommerce,prefixes,rdf,TRUE
GPT-4o,eCommerce,prefixes,rdfs,TRUE
GPT-4o,eCommerce,prefixes,owl,TRUE
GPT-4o,eCommerce,prefixes,xsd,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,total,4,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,validity,4,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-4o-mini,AmazonRating,total,4,NA
GPT-4o-mini,AmazonRating,validity,4,NA
GPT-4o-mini,AmazonRating,corrected,0,NA
GPT-4o-mini,AmazonRating,prefixes,rdf,TRUE
GPT-4o-mini,AmazonRating,prefixes,rdfs,TRUE
GPT-4o-mini,AmazonRating,prefixes,owl,TRUE
GPT-4o-mini,AmazonRating,prefixes,xsd,TRUE
GPT-4o-mini,BigBasketProducts,total,4,NA
GPT-4o-mini,BigBasketProducts,validity,4,NA
GPT-4o-mini,BigBasketProducts,corrected,0,NA
GPT-4o-mini,BigBasketProducts,prefixes,rdf,TRUE
GPT-4o-mini,BigBasketProducts,prefixes,rdfs,TRUE
GPT-4o-mini,BigBasketProducts,prefixes,owl,TRUE
GPT-4o-mini,BigBasketProducts,prefixes,xsd,TRUE
GPT-4o-mini,BrazilianE-commerce,total,4,NA
GPT-4o-mini,BrazilianE-commerce,validity,4,NA
GPT-4o-mini,BrazilianE-commerce,corrected,0,NA
GPT-4o-mini,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-4o-mini,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-4o-mini,BrazilianE-commerce,prefixes,owl,TRUE
GPT-4o-mini,BrazilianE-commerce,prefixes,xsd,TRUE
GPT-4o-mini,CustomerComplaint,total,4,NA
GPT-4o-mini,CustomerComplaint,validity,4,NA
GPT-4o-mini,CustomerComplaint,corrected,0,NA
GPT-4o-mini,CustomerComplaint,prefixes,rdf,TRUE
GPT-4o-mini,CustomerComplaint,prefixes,rdfs,TRUE
GPT-4o-mini,CustomerComplaint,prefixes,owl,TRUE
GPT-4o-mini,CustomerComplaint,prefixes,xsd,TRUE
GPT-4o-mini,eCommerce,total,4,NA
GPT-4o-mini,eCommerce,validity,4,NA
GPT-4o-mini,eCommerce,corrected,0,NA
GPT-4o-mini,eCommerce,prefixes,rdf,TRUE
GPT-4o-mini,eCommerce,prefixes,rdfs,TRUE
GPT-4o-mini,eCommerce,prefixes,owl,TRUE
GPT-4o-mini,eCommerce,prefixes,xsd,TRUE
